Job Number,Borough Name,Count Permits,First Permit Date,Current Date,Age,Permit Expiration Date,Sidewalk Shed/Linear Feet,Construction Material,Current Job Status,BIN Number,Community Board,Latitude Point,Longitude Point,House Number,Street Name,Borough Digit,Block,Lot,Applicant Business Name,ProCert,Source,activity,Commercial
B00856152-I1,BROOKLYN,,2023-04-11,2025-05-02,751,2026-02-28,822.0,,Permit Entire,3137572,312,40.63954,-74.00004,950,49 STREET,3,5638,19,LAWSON CHRISTIAN,1,DOB NOW,Local Law 11,Other Zoning Districts
B00859593-I1,BROOKLYN,,2023-04-17,2025-05-02,745,2025-09-27,1352.0,,Permit Entire,3429272,301,40.73132,-73.9616,18,INDIA STREET,3,2538,1,G. BLINN CONSULTING  LLC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00860279-I1,BROOKLYN,,2023-05-16,2025-05-02,716,2025-05-13,609.0,,Permit Entire,3204886,315,40.58719,-73.95747,2626,HOMECREST AVENUE,3,7456,6,ENTHINK ENGINEERING LLC,0,DOB NOW,Local Law 11,Other Zoning Districts
B00861009-I1,BROOKLYN,,2023-06-01,2025-05-02,700,2025-05-30,391.0,,Permit Entire,3001726,302,40.69818,-73.9941,111,HICKS STREET,3,231,19,ASHRAF CORP,1,DOB NOW,Local Law 11,Other Zoning Districts
B00861928-I1,BROOKLYN,,2023-04-25,2025-05-02,737,2025-05-25,40.0,,Permit Entire,3072422,304,40.70754,-73.92246,427,TROUTMAN STREET,3,3177,25,PR,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00861939-I1,BROOKLYN,,2023-04-25,2025-05-02,737,2025-05-25,20.0,,Permit Entire,3072417,304,40.70754,-73.92246,444,JEFFERSON STREET,3,3177,15,PR,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00863690-I1,BROOKLYN,,2023-05-11,2025-05-02,721,2025-09-29,286.0,,Permit Entire,3081033,316,40.66914,-73.91228,85,BRISTOL STREET,3,3520,32,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00865675-I1,BROOKLYN,,2023-04-29,2025-05-02,733,2026-01-17,243.0,,Permit Entire,3328050,305,40.66686,-73.89598,398,SHEFFIELD AVENUE,3,3787,1,IKRA CONSULTING LLC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00865784-I1,BROOKLYN,,2023-05-03,2025-05-02,729,2026-01-17,467.0,,Permit Entire,3328051,305,40.66686,-73.89598,428,SHEFFIELD AVENUE,3,3787,1,IKRA CONSULTING LLC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00865908-I1,BROOKLYN,,2023-04-29,2025-05-02,733,2026-01-22,40.0,,Permit Entire,3322154,313,40.59247,-73.98299,2249,STILLWELL AVENUE,3,7137,1,IKRA CONSULTING LLC,1,DOB NOW,Local Law 11,Other Zoning Districts
B00865914-I1,BROOKLYN,,2023-04-29,2025-05-02,733,2026-01-22,48.0,,Permit Entire,3322194,313,40.59153,-73.97987,2790,86 STREET,3,7140,16,IKRA CONSULTING LLC,1,DOB NOW,Local Law 11,Other Zoning Districts
B00865921-I1,BROOKLYN,,2023-04-29,2025-05-02,733,2026-01-22,89.0,,Permit Entire,3322195,313,40.59153,-73.97987,2800,86 STREET,3,7140,16,IKRA CONSULTING LLC,1,DOB NOW,Local Law 11,Other Zoning Districts
B00865934-I1,BROOKLYN,,2023-04-29,2025-05-02,733,2026-01-27,17.0,,Permit Entire,3322183,313,40.59153,-73.97987,2336,WEST    8 STREET,3,7140,16,IKRA CONSULTING LLC,1,DOB NOW,Local Law 11,Other Zoning Districts
B00865940-I1,BROOKLYN,,2023-04-29,2025-05-02,733,2026-01-22,64.0,,Permit Entire,3322171,313,40.59153,-73.97987,2369,WEST   11 STREET,3,7140,16,IKRA CONSULTING LLC,1,DOB NOW,Local Law 11,Other Zoning Districts
B00868425-I1,BROOKLYN,,2023-05-05,2025-05-02,727,2025-07-01,135.0,,Permit Entire,3055994,302,40.68621,-73.96703,395,CLINTON AVENUE,3,1961,27,ENTHINK ENGINEERING LLC,1,DOB NOW,Local Law 11,Other Zoning Districts
B00868658-I1,BROOKLYN,,2023-05-05,2025-05-02,727,2025-10-18,88.0,,Permit Entire,3000339,302,40.69243,-73.98687,55,WILLOUGHBY STREET,3,147,44,PAUL PERDEK  PROF. ENG. PLLC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00868893-I1,BROOKLYN,,2023-10-11,2025-05-02,568,2025-10-08,603.0,,Permit Entire,3001189,302,40.68427,-73.98101,500,PACIFIC STREET,3,192,1,AK CONSULTING SERVICES  INC,0,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00870188-I1,BROOKLYN,,2023-06-04,2025-05-02,697,2025-05-25,256.0,,Permit Entire,3413889,302,40.69096,-73.98488,248,DUFFIELD STREET,3,145,7501,PR,1,DOB NOW,Local Law 11,Commercial District/Overlay
B00870880-I1,BROOKLYN,,2023-05-05,2025-05-02,727,2025-05-09,40.0,,Permit Issued,3138815,312,40.63829,-74.00401,864,53 STREET,3,5665,33,YANG ENGINEERING LLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00870940-I1,BROOKLYN,,2023-06-13,2025-05-02,688,2025-06-03,200.0,,Permit Entire,3068360,301,40.71581,-73.95034,240,MEEKER AVENUE,3,2746,39,PAUL PERDEK  PROF. ENG. PLLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00871259-I1,BROOKLYN,,2023-11-27,2025-05-02,521,2025-06-09,100.0,,Permit Entire,3106863,309,40.66127,-73.93952,551,ALBANY AVENUE,3,4800,8,SYED ENGINEERING  P.C.,0,DOB NOW,Construction or Maintenance,Other Zoning Districts
